"","venueID","venueCapacity","venueLng","venueLat"
"443","275676",NA,"-90.17547","38.60246"
"444","631","1700","-94.5905256","39.0611494"
"445","30382",NA,"-105.277207","40.019138"
"446","15329",NA,"-112.1881973","40.7472105"
"447","3154",NA,"-122.3340054","47.5879142"
"448","2522089","2000","-115.17258","36.11777"
"449","12088",NA,"-106.6549859","35.084905"
"450","2511199",NA,"-80.1463306","26.1211731"
"451","523541","1530","-81.3792815","28.550581"
"452","1519393","1500","-86.79721","36.16386"
"453","45544","4300","-96.783697","32.782367"
"454","4687",NA,"-90.09842","29.99331"
"455","1181416",NA,"-73.98518","40.71063"
"456","12","55000","-117.29406","34.08973"
"457","2070639",NA,NA,NA
"458","93852",NA,"-93.27338","44.97027"
"459","5575",NA,"-104.9636318","39.6839404"
"460","1284051",NA,"116.01181","-31.875"
"461","3146609",NA,"174.6349712","-36.8606977"
"462","56706",NA,"-80.14","25.97802"
"463","3775659",NA,"-93.2774629","44.9763025"
"464","1952434",NA,"-122.66701","45.53348"
"465","48376",NA,"-122.24128","47.38675"
"466","15550",NA,"-90.05935","35.13988"
"467","17800","18000","-94.876846","39.112703"
"468","6290",NA,"-86.78103","36.16728"
"469","3639194",NA,"-82.23486","34.713"
"470","3411544",NA,"-80.35159","25.68701"
"471","48938","20000","-78.5763","35.74939"
"472","864476","6500","-75.137185","39.960258"
"473","3506329",NA,"-78.38611","42.92822"
"474","1344616",NA,"-79.4150723","43.6293322"
"475","680","7200","-82.976271","42.5648539"
"476","45552","4500","-81.702957","41.496352"
"477","776","29700","-87.6091035","41.8643989"
"478","5091","50000","-86.1708033","39.7665562"
"479","3487454",NA,"-96.9445262","32.8750507"
"480","3935334",NA,"-96.80347","32.79504"
"481","1230356",NA,"-111.97856","33.27219"
"482","36253","4500","-117.0765114","32.7727078"
"483","3410514",NA,"-115.17359","36.10502"
"484","31951","32000","-6.2838544","53.3004978"
"485","15612","20000","-87.6189229","41.8827891"
"486","47295","15000","-73.5292196","45.50364"
"487","771611",NA,"6.9697952","50.945666"
"488","43778",NA,"18.11561","59.33247"
"489","54613",NA,"2.2148663","48.8410122"
"490","4012979",NA,"-75.17497","39.96826"
"491","1057","3500","-117.259848","32.974486"
"492","114086",NA,"-89.8325342","35.1387713"
"493","3883834",NA,"-96.75347","32.77569"
"494","18468","56000","-118.2409737","34.0732204"
"495","46871","15500","11.5419624","48.1714582"
"496","29550","13000","8.5516563","47.4116099"
"497","297026",NA,"-112.06973","33.49778"
"498","2424769","2500","-96.8939222","32.8583293"
"499","2814963",NA,"-111.9231086","33.5017134"
"500","1910083",NA,"-116.281167","43.650709"
"501","1625953",NA,"-111.90691","40.76772"
"502","244673","1500","-87.9432826","43.0381725"
"503","1308",NA,"-71.80081","42.26674"
"504","222","700","-74.0059194","40.7430022"
"505","2020354",NA,"-78.6207135","35.8168435"
"506","3286029",NA,"-115.1489","36.24419"
"507","1300","500","-118.38797","34.09071"
"508","38120","1000","-117.92298","33.80954"
"509","1255",NA,"-119.75119","36.73188"
"510","2225",NA,"-118.2660021","33.8633136"
"511","15001","28000","-87.80518","41.76298"
"512","43422",NA,"-71.05936","42.3577"
"513","858","1568","-74.0701263","40.3488692"
"514","13685",NA,"-71.30425","42.64505"
"515","1016","1700","-83.1474339","42.4873251"
"516","1540798","4300","-87.8643225","41.9762359"
"517","16906",NA,"-94.5834597","39.0988516"
"518","1473658",NA,"-82.8121988","40.0613949"
"519","1477",NA,"-122.2022002","47.978811"
"520","674","18500","-87.8878325","42.0047854"
"521","1557953",NA,NA,NA
"522","33673","19040","-74.0701818","40.8129701"
"523","5269",NA,"-115.1676888","36.1030179"
"524","2713533",NA,"-115.1716268","36.0956098"
"525","513121",NA,"-94.35779","39.03986"
"526","1492","20000","-87.917166","43.043728"
"527","16146","3500","-79.96226","40.44365"
"528","56485","9000","-72.09092","41.49173"
"529","719",NA,"-71.79857","42.26605"
"530","812","10000","-77.30975","38.82675"
"531","2694603",NA,"-95.40334","29.68593"
"532","2035394",NA,"-81.38691","28.54878"
"533","33714",NA,"-122.3507","47.62164"
"534","48459","13200","9.1309141","45.4029776"
"535","12522","90000","-0.2796655","51.5567009"
"536","56494",NA,"4.4423175","51.2307931"
"537","34191",NA,"2.1556646","41.3624135"
"538","1035851",NA,"-85.7539205","38.2566416"
"539","843","30000","-76.6541182","40.2926999"
"540","496",NA,"-73.753957","42.64834"
"541","30498",NA,"-71.463052","42.9860207"
"542","831746",NA,"-3.3697288","47.7478486"
"543","1431538",NA,"140.041889","35.64834"
"544","1156841",NA,"139.7635034","35.6769467"
"545","554481",NA,"-115.1730561","36.0919655"
"546","6095",NA,"-116.2059975","43.6056603"
"547","2749148",NA,"-118.2668356","34.043021"
"548","28656",NA,"-86.81151","33.52307"
"549","576",NA,"-85.67158","42.9621"
"550","523016",NA,"-97.33215","37.68267"
"551","672",NA,"-106.4423879","31.765633"
"552","31907",NA,"-99.09826","19.40355"
"553","92741",NA,"-70.6639073","-33.4584379"
"554","2443694","30000",NA,NA
"555","67806","55000","-46.6789563","-23.5258126"
"556","100952",NA,"54.6040121","24.4958385"
"557","55869",NA,"139.6307875","35.8948747"
"558","434351",NA,"-73.9741874","40.7859464"
"559","113393",NA,"-9.1256439","38.7499993"
"560","127630","1500","2.3430627","48.8827755"
"561","4023024","18975","-95.92809","41.26355"
"562","3144639","17608","-121.49935","38.58021"
"563","1793833","65000","18.0084334","59.3688791"
"564","2361729",NA,"8.95471","56.11549"
"565","3606","65000","-2.1750031","53.6179517"
"566","29610",NA,"4.835659","45.764043"
"567","30267","20000","-9.0940898","38.7685025"
"568","51905",NA,"12.4660187","41.8241967"
"569","2699863",NA,"7.65256","45.04206"
"570","75219","18000","-43.3975091","-22.9730543"
"571","3107029","15000","-58.7177601","-34.4615391"
"572","2959853","16000",NA,NA
"573","2491009",NA,"140.0351228","35.6474895"
"574","3430549",NA,NA,NA
"575","55874","12000","100.49587","13.90773"
"576","1035966","15000","120.98356","14.54009"
"577","3825119","19000","116.28263","39.91004"
"578","1227596","18000","121.56413","31.26108"
"579","1952614",NA,NA,NA
"580","3391299",NA,"151.19839","-33.87391"
"581","447746",NA,"121.5545067","25.0514677"
"582","46172",NA,"113.91848","22.30805"
"583","5918",NA,"-78.513229","38.030822"
"584","3859524",NA,"-118.28473","34.0128"
"585","32409",NA,"-87.65399","41.939472"
"586","2502474",NA,"-118.2568454","34.0415219"
"587","1192011",NA,"-115.1751092","36.1101712"
"588","3440","420","-1.2352348","51.7471654"
"589","16415",NA,"-1.9696306","51.8428145"
"590","30427",NA,"-2.23472","53.48378"
"591","8340","420","-0.1494415","51.5378716"
"592","17739","220","-3.5318092","50.7245333"
"593","14235","220","-2.3626992","51.3847434"
"594","17530","300","-0.13054","51.51509"
"595","14415","218","-0.1945393","51.5093651"
"596","3268","300","-0.5738364","51.2397042"
"597","9670",NA,"-1.9039983","52.4791309"
"598","67917","450","-1.1531291","52.9565381"
"599","3709",NA,"-1.8649624","50.7230961"
"600","7325","600","-0.1230665","50.8172588"
"601","38321","1020","-1.2206911","51.7387321"
"602","842746",NA,NA,NA
"603","1966004",NA,"-4.2724","55.87224"
"604","6385","375","-2.2387154","53.4828272"
"605","16762","1100","-0.1430625","51.5396805"
"606","1816","800","-0.1028893","51.5443277"
"607","527251","150","-0.1432149","50.8246121"
"608","11937",NA,"-0.2569973","51.4924271"
"609","1936354",NA,"-2.5926738","51.4717005"
"610","17541","400","-0.2314873","51.5062847"
"611","1076776",NA,NA,NA
